Sr No,Gateway,Scheme Name,Fund Name,ISIN,Plan Type,Option,IDCW Option,Active,Thresholds
11,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND  - REGULAR - MONTHLY IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LU2,regular,idcw_monthly,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":1000,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
12,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND  - REGULAR - QUARTERLY IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LN7,regular,idcw_quarterly,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":1000,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
13,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND  - RETAIL - QUARTERLY IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LS6,regular,idcw_quarterly,payout,true,"[{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001}]"
14,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND - REGULAR PLAN-GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LV0,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":1000,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]}]"
15,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING & PSU DEBT FUND - RETAIL PLAN-GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K01LT4,regular,growth,,true,"[{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001}]"
16,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR - IDCW,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K010W9,regular,idcw,payout,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
17,cybrillapoa,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209K011W7,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":1000,""additional_amount_min"":1000,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":1,""additional_amount_multiples"":1},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":1,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":100,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
18,cybrillapoa,ADITYA BIRLA SUN LIFE BSE 500 MOMENTUM 50 INDEX FUND- REGULAR GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KC1605,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":500,""additional_amount_min"":500,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":100,""additional_amount_multiples"":100},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":0.01,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
19,cybrillapoa,ADITYA BIRLA SUN LIFE BSE 500 MOMENTUM 50 INDEX FUND-REGULAR IDCW PAYOUT,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KC1654,regular,idcw,payout,true,"[{""type"":""lumpsum"",""amount_min"":500,""additional_amount_min"":500,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":100,""additional_amount_multiples"":100},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":0.01,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
20,cybrillapoa,ADITYA BIRLA SUN LIFE BSE 500 QUALITY 50 INDEX FUND - REGULAR GROWTH,ADITYA BIRLA SUN LIFE MUTUAL FUND,INF209KC1639,regular,growth,,true,"[{""type"":""lumpsum"",""amount_min"":500,""additional_amount_min"":500,""amount_max"":999999999,""additional_amount_max"":999999999,""amount_multiples"":100,""additional_amount_multiples"":100},{""type"":""withdrawal"",""amount_min"":1,""amount_max"":999999999,""amount_multiples"":0.01,""units_min"":0.001,""units_max"":999999999,""units_multiples"":0.001},{""type"":""sip"",""frequency"":""monthly"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":6,""dates"":[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]},{""type"":""sip"",""frequency"":""daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]},{""type"":""sip"",""frequency"":""calendar_day_daily"",""amount_min"":500,""amount_max"":999999999,""amount_multiples"":1,""installments_min"":60,""dates"":[]}]"
